lines_of_code,cyclomatic_complexity,num_functions,num_classes,avg_function_length,defect
2451,26,16,59,38,1
1822,27,115,91,66,1
2010,3,104,72,61,1
2830,42,49,2,16,1
4854,2,42,22,61,1
4796,17,86,40,81,1
2921,3,56,48,68,0
710,3,80,74,52,1
2685,40,196,54,145,1
2379,16,114,91,17,1
4004,12,89,78,153,0
2500,1,39,97,34,1
1182,4,173,84,77,1
749,17,48,57,68,1
2088,19,63,39,96,1
4697,4,23,72,154,1
4550,47,110,17,75,1
4607,39,45,78,126,1
2229,20,130,55,58,1
2888,49,3,34,199,1
923,41,21,9,109,1
133,39,8,6,168,1
1472,4,4,86,14,1
2725,17,36,39,160,1
3230,15,56,55,18,1
4366,41,112,96,89,1
4025,28,73,76,116,1
1441,16,72,0,133,1
3268,6,78,16,28,1
4257,28,53,21,31,1
664,32,113,22,23,1
3021,17,195,43,83,1
3615,25,180,90,135,1
3626,39,138,66,134,1
4620,17,181,20,199,1
320,46,120,82,8,1
4116,15,146,54,151,1
2518,18,166,94,144,1
1440,46,27,49,125,1
3404,20,158,17,175,1
4185,23,74,98,172,1
3657,5,40,26,139,1
2633,39,104,34,58,1
4123,12,142,94,159,1
3125,17,175,32,190,1
3956,30,191,83,168,1
339,19,135,24,104,1
2530,32,139,54,100,1
3302,16,159,83,131,1
328,2,185,76,173,0
2974,12,128,86,37,1
630,49,154,91,150,1
303,3,60,59,69,1
4326,8,150,19,48,1
4826,37,70,20,176,1
874,24,84,37,150,1
3882,49,188,55,56,1
749,25,43,66,6,1
1430,25,126,85,118,1
3946,14,157,53,171,1
1723,46,159,33,92,1
2777,36,138,9,11,1
3206,15,50,49,131,1
3438,32,78,16,124,1
4357,2,9,82,44,1
433,21,88,59,7,1
391,4,92,68,169,1
2037,29,29,68,24,1
4109,49,148,33,140,1
4989,29,51,46,143,1
3159,23,15,32,196,0
4132,3,53,14,59,1
4565,21,168,57,52,1
2848,16,192,1,155,1
3290,44,179,55,16,1
2038,20,59,35,56,1
3464,35,96,85,19,1
1899,5,121,5,120,1
355,48,148,26,20,1
3663,26,21,28,22,1
2799,7,28,79,191,1
1185,16,38,98,47,1
255,17,182,62,19,1
4641,2,134,40,44,1
3500,12,69,41,46,1
3861,13,199,69,131,1
3672,5,109,62,113,1
3649,16,111,97,77,1
2601,28,24,61,22,1
4358,8,35,33,96,1
359,28,29,24,139,1
2758,46,112,91,43,1
2041,8,196,37,99,1
321,29,82,45,67,1
3692,18,176,12,153,1
4136,44,150,12,119,1
1872,43,158,38,142,1
3323,16,62,57,189,1
4588,26,42,98,67,1
4399,22,143,66,152,1
570,15,171,53,133,1
1026,13,9,99,98,1
3772,22,20,52,22,0
3601,21,68,50,23,1
4155,24,65,28,9,0
2823,1,185,85,88,1
2602,29,146,70,136,1
2882,1,68,61,111,1
3957,1,28,4,192,1
202,9,199,50,152,1
3014,21,14,60,197,1
2966,14,40,37,146,1
2850,28,114,9,186,1
1802,18,38,64,160,1
2660,33,145,7,35,1
3925,43,58,85,177,1
1154,2,103,85,169,1
2586,34,178,57,133,1
4249,24,198,78,61,1
3904,19,189,29,12,1
3544,2,154,17,99,1
1964,6,115,69,124,1
3122,15,59,11,169,1
1056,11,169,65,124,1
456,16,196,69,167,1
216,21,98,55,15,1
558,27,174,85,7,1
1711,22,152,43,12,1
3714,3,94,3,39,1
3539,3,114,53,60,1
4908,21,138,14,135,1
730,43,194,36,122,1
2574,6,171,32,162,1
2170,25,55,29,86,1
4727,41,65,58,184,1
4407,37,22,17,135,1
1413,30,187,39,22,1
1381,39,90,13,26,1
2342,20,120,42,107,1
1588,1,74,83,128,1
3458,35,136,99,14,1
610,43,84,84,94,1
1149,26,22,36,94,1
1953,21,185,27,167,1
224,10,180,16,6,1
2206,45,48,98,176,1
2280,29,120,17,61,1
4337,3,88,25,79,1
4210,43,150,39,81,1
3970,41,177,93,179,1
1547,43,130,66,45,1
3904,41,186,61,34,1
3221,13,170,95,139,1
1617,9,68,44,61,1
1201,46,37,14,12,1
418,16,149,68,85,1
4996,49,26,89,74,1
92,47,143,95,18,1
1957,28,47,48,47,1
3540,28,15,39,92,1
2585,11,86,57,123,1
4223,44,129,45,149,1
2923,30,180,87,139,1
1874,11,138,44,121,1
1343,29,126,84,113,1
4819,12,148,42,165,1
4846,8,188,72,33,1
4904,10,176,25,159,1
3436,35,1,86,162,1
3022,36,76,25,18,1
3972,13,126,92,50,1
1042,27,41,43,95,1
2436,40,24,75,151,1
2290,2,192,84,109,1
1526,28,114,62,190,1
3457,34,190,3,95,1
439,21,192,5,137,1
1049,6,2,18,44,1
4670,39,148,47,17,1
1905,26,182,4,153,1
708,36,147,54,126,1
2813,40,25,28,198,1
3713,18,103,18,147,1
1531,42,1,71,140,1
3781,43,95,6,23,1
501,39,58,12,12,1
2525,5,68,91,180,1
3272,26,3,57,66,1
1587,11,164,93,37,1
3143,16,19,41,136,1
932,19,170,97,179,1
4458,5,41,18,191,1
4118,7,20,78,25,1
4985,3,146,4,131,1
2616,25,185,4,144,1
3327,10,42,12,67,1
424,5,68,39,187,1
4596,32,11,57,64,1
3747,32,42,51,155,1
3112,5,146,37,73,1
4740,43,120,62,131,1
3300,19,5,37,176,0
4645,12,122,60,183,1
4609,31,83,11,182,1
162,17,148,41,178,1
3247,22,194,49,178,1
2428,47,186,0,23,1
1974,41,107,96,97,1
189,22,75,63,133,1
1474,49,141,84,107,1
2999,26,64,3,82,1
3218,31,126,0,156,1
566,43,170,98,45,1
2666,6,106,41,115,1
937,12,130,23,6,1
3154,43,178,20,149,1
99,27,9,36,94,1
4001,17,173,17,15,1
3610,10,71,43,160,1
68,45,120,2,7,1
4871,5,4,28,23,1
1523,4,189,1,173,1
4111,39,66,48,131,1
2656,15,87,87,182,1
501,2,1,69,16,1
3815,49,113,89,182,1
2488,8,69,97,125,1
4360,16,160,40,103,1
1599,20,19,55,14,1
3524,24,31,45,32,1
177,35,54,22,100,1
4905,17,4,47,54,1
2811,5,135,38,40,1
4506,14,32,42,196,1
4714,14,97,97,73,1
1465,46,6,41,171,1
251,43,98,83,157,1
2419,31,127,92,85,1
567,20,51,31,121,1
1391,13,15,19,31,1
4826,9,28,61,181,1
2038,34,80,7,12,1
3595,12,21,87,160,1
4570,40,86,6,37,1
3852,16,97,61,182,1
3325,1,117,62,24,1
3704,16,99,25,184,1
2484,6,153,17,57,1
4923,20,168,56,52,1
257,6,26,40,137,1
2683,35,147,54,19,1
4167,41,148,75,120,1
203,3,94,49,125,1
3416,21,170,23,96,1
4364,7,111,7,154,1
4814,14,100,8,195,1
1568,30,121,8,104,1
2650,22,148,18,12,1
2245,14,126,53,99,1
4548,25,169,61,146,1
4741,3,116,15,30,1
3604,5,45,97,31,1
2464,5,165,64,132,1
2899,42,155,46,35,1
1792,9,96,83,35,1
1356,48,46,49,116,1
3899,41,8,27,108,1
4218,38,12,27,154,1
4626,37,89,84,78,1
4705,4,65,74,6,1
4890,20,64,87,177,1
4245,21,125,11,34,1
2605,48,160,25,156,1
2355,24,46,59,126,1
4558,7,66,8,127,1
1138,46,36,67,56,1
2692,49,174,3,41,1
1227,8,150,47,160,1
4966,11,144,78,176,1
4807,49,125,45,153,1
3044,46,112,35,193,1
609,9,28,73,63,1
3014,6,117,91,35,1
1321,40,176,73,55,1
1863,17,164,41,114,1
2965,13,120,15,82,1
659,45,39,13,179,1
2511,17,164,46,166,1
4170,2,186,3,9,1
333,30,97,35,141,1
2978,32,48,38,9,1
4446,36,41,63,63,1
1141,7,51,59,12,1
866,16,164,41,95,1
132,19,49,41,143,1
1970,15,116,7,30,1
3541,14,58,86,81,1
3194,45,156,40,129,1
2143,7,144,79,74,1
4763,47,116,26,141,1
225,33,119,44,56,1
2754,34,23,23,178,1
4987,24,196,21,154,1
419,35,87,90,175,1
1868,21,86,23,23,1
2151,24,38,10,37,1
4835,37,27,79,149,1
3540,16,158,52,90,1
1829,17,118,27,7,1
1414,29,64,10,18,1
4512,18,150,51,80,1
3392,48,198,83,32,1
4789,11,91,32,95,1
3726,3,22,6,24,1
2476,42,77,9,139,1
122,18,63,44,108,1
3012,16,152,84,174,1
909,41,178,47,127,1
3906,1,158,2,197,0
4188,43,86,4,46,1
2474,43,135,0,131,1
1114,27,186,35,180,1
2267,31,160,11,30,1
4067,45,163,30,154,1
2309,28,150,40,182,1
3801,40,154,89,177,1
2136,27,37,97,178,1
418,9,164,38,123,1
2854,38,174,79,171,1
200,36,106,87,189,1
1184,41,138,99,193,1
2834,27,133,4,79,1
4214,47,61,64,87,1
2396,26,140,20,128,1
4947,27,20,73,151,1
2300,4,138,7,190,1
110,48,154,19,46,1
3060,38,12,34,77,1
3951,12,106,93,136,1
1387,47,136,49,69,1
1234,15,116,81,5,1
4476,47,20,44,90,1
1601,48,47,44,61,1
4483,30,94,46,67,1
1679,14,8,27,95,1
1377,8,81,26,134,1
1576,28,132,93,88,1
1723,31,193,53,198,1
1411,2,37,36,196,1
1623,15,180,34,59,1
2736,40,8,18,56,1
4420,43,161,62,34,1
2416,48,101,52,114,1
3807,8,127,40,51,1
2484,5,122,61,154,1
2043,4,163,3,65,1
919,12,153,66,17,0
1064,10,191,73,126,1
1961,4,93,74,91,1
652,10,40,44,66,1
3871,29,62,27,185,1
740,28,156,67,191,1
543,29,53,49,128,1
539,19,99,38,164,1
2606,43,51,2,119,1
4535,13,67,33,42,1
344,34,66,84,194,1
4077,46,80,24,103,1
2893,20,126,44,143,1
2962,18,97,66,54,1
1767,48,185,80,118,1
2646,36,7,80,9,1
4794,1,23,86,71,1
1923,26,122,16,51,1
4713,3,95,84,15,1
3308,44,172,78,171,1
2867,3,62,17,191,1
494,21,82,53,72,1
3691,18,136,22,21,1
4508,31,94,16,24,1
791,36,13,76,78,1
2091,49,158,49,189,1
729,44,148,58,76,1
2517,31,74,14,14,1
3747,8,109,42,134,1
1408,25,156,52,153,0
112,49,147,56,188,1
2609,46,130,18,103,1
3819,20,45,75,5,1
4401,11,91,24,75,1
184,40,45,73,179,1
3694,1,62,54,156,1
4967,21,180,60,134,1
2185,17,180,54,94,1
3328,28,173,76,76,1
872,18,12,65,197,1
3124,29,160,48,45,1
3031,10,145,17,73,1
170,9,56,97,61,1
1687,34,104,51,84,1
974,20,21,33,79,1
694,31,161,20,161,1
2082,3,88,42,194,1
2811,1,55,72,179,1
2118,33,124,18,142,1
291,8,80,9,152,1
2718,18,3,33,62,1
852,30,87,77,108,1
4214,33,183,51,21,1
245,22,146,63,119,1
2237,17,10,7,187,1
3565,42,32,32,155,1
2380,9,77,97,194,1
2409,22,32,15,91,1
4891,10,39,63,93,1
3656,33,77,76,150,1
326,48,9,26,129,1
110,39,12,38,54,1
3440,3,6,32,88,1
1963,17,58,96,161,1
3977,9,106,3,63,1
2641,47,172,88,121,1
616,40,184,74,155,1
3985,36,136,10,14,1
1621,19,186,21,174,1
4767,34,188,77,106,1
1250,2,132,38,104,1
4459,45,21,1,144,1
2904,27,8,97,170,1
2945,19,56,10,179,1
1286,33,35,55,85,1
186,26,149,68,125,1
1079,47,26,50,92,1
2206,34,50,90,15,1
2644,28,128,81,99,1
711,16,6,95,147,0
2522,22,133,66,55,1
2727,28,154,55,189,1
2358,14,155,86,89,1
136,6,56,71,167,1
2562,11,191,45,159,1
2992,46,119,73,78,1
2823,20,188,70,154,1
2554,36,165,27,151,1
3360,49,21,37,133,1
1750,16,53,23,30,1
3720,6,181,87,179,1
2750,8,33,87,136,1
3679,45,104,92,153,1
4640,36,130,23,178,1
1697,48,174,38,149,1
3368,49,55,2,97,1
3737,4,181,99,29,1
646,48,68,25,34,1
4595,34,50,14,10,1
534,20,43,67,162,1
695,24,148,75,98,1
3139,45,150,68,8,1
4807,3,181,17,176,1
4903,28,111,67,153,1
4434,30,163,2,106,1
770,29,45,16,84,1
4783,21,5,88,155,1
548,42,4,86,24,1
4779,27,143,72,115,1
1723,25,88,53,5,1
3117,3,97,3,47,1
164,1,99,85,172,1
3029,23,96,55,61,1
4819,43,77,28,195,1
1786,5,81,49,22,1
3661,31,69,62,139,1
2303,25,173,11,72,1
2344,35,72,45,139,1
3680,43,47,93,134,1
196,1,90,81,144,1
4032,15,12,15,149,1
3503,39,166,29,29,1
4557,24,39,44,9,1
2460,34,173,42,57,1
186,47,123,20,152,1
3410,18,50,85,199,1
3055,25,114,24,171,1
3602,36,35,93,115,1
68,1,61,69,196,1
2292,9,133,44,79,1
498,41,77,56,95,1
1998,31,173,28,58,1
995,22,38,6,57,1
4286,38,158,28,189,1
1970,46,13,98,166,1
3027,41,143,58,116,1
4238,2,83,8,10,1
4065,41,102,80,23,1
288,45,38,49,30,1
254,20,96,20,115,1
2657,23,99,20,145,1
4390,12,84,45,30,1
4977,10,113,16,46,1
3438,32,77,18,58,1
3022,5,90,88,193,1
4440,44,48,96,93,1
2737,29,81,28,176,1
4216,33,94,88,195,1
1398,23,4,52,193,1
4450,36,136,47,196,1
866,13,73,93,110,1
870,2,86,6,169,1
242,11,108,33,151,1
1826,28,140,28,110,1
3695,25,19,40,138,1
4674,36,97,8,98,1
300,18,192,48,188,1
1838,39,132,96,142,1
3750,9,130,49,14,1
2513,2,192,4,52,1
1217,36,124,36,45,1
3943,46,127,93,32,1
1146,17,127,78,181,1
2729,33,199,98,69,1
1897,35,3,95,47,1
3954,33,137,32,24,1
554,32,116,14,50,1
1671,20,21,21,99,1
2522,30,184,64,69,1
2596,22,96,51,180,1
1437,25,124,48,113,1
3044,45,193,33,30,1
3866,46,86,36,51,1
767,44,107,73,110,1
3534,11,194,67,94,1
4484,34,190,16,157,1
708,28,73,51,106,1
4058,35,187,66,76,1
4574,4,44,59,18,0
4284,9,74,56,163,1
3814,43,137,49,58,1
3039,22,140,54,45,1
4687,25,42,0,180,1
2154,21,116,83,20,1
1305,25,30,79,190,1
2532,41,109,52,158,1
433,17,155,83,97,1
2657,15,58,68,161,1
243,41,77,45,6,1
3857,7,183,56,51,1
3769,32,115,53,127,1
2631,8,109,10,181,0
2615,3,56,23,56,1
2813,33,151,73,109,1
2848,36,27,79,23,1
2389,17,181,77,41,1
3456,1,141,8,23,0
781,36,169,94,88,1
2922,40,95,87,143,1
3170,17,145,9,117,1
4830,44,106,22,120,1
4227,48,168,61,118,1
2654,37,62,66,149,1
2432,25,16,1,45,1
581,25,7,25,175,1
4366,13,49,52,5,1
684,13,189,68,89,1
1819,12,87,54,39,1
3854,32,138,39,10,1
2420,35,193,84,117,1
52,28,41,53,77,1
255,44,4,43,138,1
4185,20,37,73,162,1
2671,28,147,70,115,1
4789,31,121,14,195,1
2940,24,43,75,138,1
3243,11,38,88,191,1
2716,42,124,17,161,1
3356,16,87,70,185,1
947,38,24,66,129,1
1135,17,193,17,131,1
1329,45,86,28,153,1
720,44,102,38,178,1
1555,5,49,53,6,1
3625,20,120,56,183,0
4864,48,96,12,175,1
2005,35,106,76,32,1
299,48,103,68,101,1
1942,43,176,22,39,1
3489,14,103,5,176,1
1903,26,141,24,89,1
2904,45,100,77,23,1
1553,43,175,91,104,1
3435,46,21,82,112,1
3621,42,120,13,118,1
3842,24,122,14,158,1
3476,31,137,63,107,1
93,18,196,20,109,1
3662,39,89,14,115,1
2668,22,80,89,78,1
4728,21,74,80,81,1
3213,34,95,17,115,1
1338,25,153,52,140,1
2992,40,73,99,131,1
269,47,28,58,57,1
1975,30,116,92,50,1
3022,6,109,28,162,0
3563,45,78,82,67,1
2498,25,5,97,109,1
3521,5,38,53,134,1
2824,29,28,61,41,1
1040,22,161,94,53,1
2996,3,48,73,7,1
1862,47,192,52,113,1
853,30,95,79,69,1
539,24,7,56,33,0
3606,41,91,35,88,1
1543,17,136,5,72,1
3695,49,142,91,26,1
2941,45,8,56,166,1
1755,20,118,49,164,0
3566,26,3,67,68,1
3390,5,4,97,65,1
103,13,148,84,192,1
2625,39,191,0,41,1
3641,4,198,99,104,0
665,45,132,15,190,1
1004,17,21,95,154,1
2483,40,86,4,75,1
1679,35,171,15,40,1
2831,31,51,95,101,1
699,16,83,5,56,1
2397,34,17,28,118,1
4540,32,132,66,59,1
3328,33,32,41,116,1
2690,8,115,19,92,1
3851,30,29,52,191,1
2611,3,95,4,8,1
3299,17,85,40,103,1
420,24,178,77,32,1
907,16,169,74,27,1
4936,20,37,53,85,1
4803,10,46,2,168,1
433,24,10,24,45,1
3927,47,151,98,157,1
2602,7,128,16,128,1
4384,48,4,34,46,1
4340,49,186,75,11,1
2775,20,184,24,45,1
4084,13,127,65,193,1
3343,29,49,27,105,1
4301,10,26,51,13,1
4038,9,108,84,47,1
972,7,43,67,40,1
2965,44,46,67,22,1
3000,33,156,18,62,1
3096,24,137,11,193,1
1024,16,85,26,98,1
1280,32,133,15,20,1
2485,4,148,76,186,1
1864,14,169,33,7,1
2984,29,63,76,75,1
4983,22,54,76,149,1
1413,23,44,92,165,1
3990,26,122,18,17,1
253,26,168,9,115,1
210,49,132,17,176,1
4537,44,77,55,153,1
818,47,68,7,125,1
3798,22,154,52,147,1
2631,44,129,47,152,1
1143,3,54,97,181,0
4550,42,125,71,28,1
657,17,80,77,135,1
1590,14,34,35,55,1
2925,45,5,90,8,1
3241,30,95,56,90,1
1887,13,115,85,24,1
739,26,106,46,35,1
3809,40,81,67,165,1
2999,32,28,25,29,1
2153,46,145,13,93,1
415,34,22,7,149,1
3625,23,84,46,109,1
4600,34,46,91,73,1
4249,44,169,32,51,1
4222,12,174,85,195,1
4375,23,132,77,174,1
2428,28,139,8,36,1
1255,19,58,23,91,1
3889,48,39,31,137,1
2785,34,142,74,9,1
3397,8,32,37,151,1
1725,34,123,78,162,1
348,42,110,47,9,1
1006,16,111,5,114,1
1164,7,155,17,64,1
2555,27,46,62,78,1
1524,20,104,61,12,1
4510,35,130,71,117,1
4496,17,63,97,165,1
3776,28,105,37,119,1
3521,8,45,24,48,1
2878,4,166,10,169,1
2900,33,131,28,92,1
2556,22,100,26,23,1
3820,31,39,4,136,1
3014,1,70,62,116,1
4644,41,185,8,30,1
999,14,21,99,13,1
4653,7,69,22,23,1
2900,8,189,12,63,1
215,8,126,99,21,1
3536,24,26,39,161,1
2559,1,119,84,34,1
969,35,45,43,110,1
163,41,101,8,133,1
3554,8,15,61,56,1
1041,5,104,58,32,1
3889,32,86,1,128,1
1308,1,68,88,139,1
3476,2,45,64,124,1
564,42,153,71,64,1
4854,46,114,95,87,1
3246,15,34,31,94,1
4484,42,133,20,47,1
2634,9,131,54,5,1
117,12,83,21,98,1
1646,10,55,65,49,1
4528,24,61,57,169,1
68,41,5,42,103,1
2780,19,102,9,99,1
3571,17,72,64,64,1
622,2,85,44,156,1
2308,10,68,42,182,1
2952,5,148,43,97,1
700,39,120,54,127,1
2637,6,164,9,125,1
3312,2,70,7,29,1
1388,8,184,3,128,1
3684,4,83,33,157,1
2877,31,6,55,119,1
2267,36,55,25,137,1
3589,8,88,28,113,1
1087,31,61,58,44,1
4433,17,133,71,123,1
4028,46,157,53,195,1
3011,40,68,18,182,1
3276,14,186,7,119,1
1148,8,110,11,184,0
2374,25,58,81,54,1
989,14,180,12,180,0
3766,23,147,65,158,1
3464,43,110,18,48,1
1498,41,18,86,23,1
620,17,198,13,171,1
2954,49,31,95,93,1
2555,12,1,23,27,1
967,20,6,72,105,1
1924,34,37,73,153,1
4978,49,2,33,34,1
1728,11,58,75,32,1
665,27,165,13,155,1
4551,9,176,84,148,1
1799,18,44,86,156,1
3875,38,44,0,61,1
4238,36,27,16,149,1
2527,46,37,96,85,1
4799,28,88,78,46,1
3555,20,91,66,111,1
3525,42,120,23,73,1
4579,29,95,16,12,1
1185,4,158,37,6,1
4050,15,88,10,182,1
424,41,65,25,14,1
256,44,104,12,150,1
4925,28,143,42,141,1
1369,40,24,75,162,1
1191,24,117,56,197,0
4677,37,11,15,47,1
2740,16,107,78,18,1
3305,22,112,52,37,1
139,47,50,18,197,1
4158,17,30,18,31,1
3070,1,18,36,181,1
1907,31,111,70,88,1
854,25,161,12,49,0
994,12,106,4,121,1
2839,20,131,80,80,1
3925,19,66,95,141,1
1660,5,11,53,171,1
2973,15,120,74,7,1
3932,41,85,34,95,1
3271,25,23,63,92,1
4441,35,184,6,37,1
4785,44,65,21,45,1
2437,47,52,4,166,1
4773,3,7,7,105,1
991,18,111,77,175,1
4975,22,81,28,85,1
2616,16,163,92,78,1
1025,15,144,40,196,1
1004,5,51,41,184,1
1312,42,181,93,49,1
993,42,195,91,89,1
2252,13,76,85,76,1
3377,28,52,23,151,1
4324,10,86,99,120,1
2309,16,199,23,184,1
1878,2,183,98,80,1
1307,36,165,1,195,1
514,25,7,39,36,1
3344,5,151,72,186,1
1280,28,129,19,171,1
2704,17,12,76,91,1
934,2,97,68,10,1
3855,15,15,50,50,0
3906,38,186,75,157,1
3185,29,27,19,94,1
974,23,79,79,112,1
4639,18,49,66,158,1
1596,14,125,18,169,1
1144,32,191,90,10,1
2461,44,51,55,128,1
2667,6,152,80,152,1
812,28,57,22,82,1
2373,18,173,10,73,0
4195,35,108,35,48,1
2825,38,50,51,181,1
4709,4,33,84,73,1
4928,49,75,60,82,1
3205,31,26,58,28,1
4020,11,116,84,8,1
2090,46,121,45,191,1
633,11,121,30,17,1
4381,29,101,61,175,1
2153,19,37,0,15,1
1992,17,80,33,144,1
4505,4,12,52,99,1
159,44,47,84,53,1
241,4,29,78,122,1
953,12,194,25,107,1
911,49,6,68,124,1
1133,47,118,44,130,1
699,7,10,50,31,1
4184,21,130,36,24,1
3661,33,82,73,138,1
686,37,49,47,65,1
1086,12,144,84,21,1
4181,7,198,6,181,1
2198,15,142,92,196,1
3915,37,191,9,55,1
3207,9,3,11,100,1
3637,33,169,93,175,1
3344,38,8,66,43,1
4311,16,103,9,12,1
2480,31,174,64,145,1
1929,15,37,20,43,1
4016,2,83,0,78,1
3763,13,111,86,167,1
4176,5,118,89,178,1
4156,48,66,83,12,1
2061,33,37,77,157,1
3423,32,165,15,119,1
2193,42,3,16,73,1
2550,48,188,12,59,1
4631,45,98,20,43,1
1339,21,98,24,193,1
1497,2,127,56,8,1
3249,36,108,29,111,1
1993,33,37,5,161,1
3233,11,112,16,22,1
3266,41,123,85,56,1
3186,23,161,87,126,1
3368,38,193,43,121,1
2832,33,45,68,40,1
1040,40,176,55,196,1
4970,8,64,87,199,1
2203,36,60,79,180,1
275,36,147,34,117,1
826,33,187,41,83,1
2887,29,42,50,73,1
737,31,101,96,152,1
579,30,15,63,112,1
3492,8,51,17,28,1
2203,26,82,22,177,1
1344,23,125,22,121,1
1576,43,35,44,81,1
4824,26,60,73,166,1
2946,42,103,15,170,1
3153,38,11,93,129,1
2490,39,135,95,75,1
4185,2,158,9,8,1
3852,26,46,76,168,1
894,18,5,71,87,1
496,27,66,78,134,1
3965,17,45,17,102,1
3159,45,1,47,50,1
1284,15,127,23,66,1
276,43,147,21,64,1
4193,7,55,39,154,1
3009,17,113,84,36,1
1880,19,175,86,152,0
3829,27,151,96,118,1
236,40,166,9,40,1
2927,17,16,94,11,1
2585,32,14,92,85,1
1982,16,196,24,33,1
2974,30,6,63,132,1
898,14,4,3,5,1
2082,41,69,17,175,1
1302,18,35,84,69,1
1931,22,154,92,33,1
319,16,137,72,137,1
1680,49,177,77,170,1
4455,49,197,17,95,1
3253,16,153,18,71,1
1624,26,45,8,126,1
2942,43,82,81,77,1
1745,6,102,33,195,0
3308,7,158,9,53,1
3312,9,60,36,69,1
1495,44,32,11,138,1
269,26,99,31,74,1
102,2,84,28,176,1
1807,36,31,69,130,1
1716,3,91,0,115,1
2835,21,178,18,61,1
769,44,61,9,22,1
455,3,145,0,144,1
2344,9,179,93,129,1
121,12,143,68,8,1
2103,8,140,35,92,1
1279,37,11,80,79,1
1617,21,106,64,70,1
3732,37,72,56,196,1
3003,40,67,11,191,1
4532,3,116,13,15,1
748,41,25,33,122,1
876,21,38,80,93,0
398,26,105,52,39,1
3958,24,96,72,153,1
357,46,177,4,146,1
3466,34,22,8,85,1
2384,32,195,29,47,1
4911,27,152,40,95,1
4870,47,190,98,135,1
2859,30,143,17,81,1
3608,4,45,43,22,1
4528,2,109,84,141,1
3527,23,41,2,68,1
4670,41,134,13,166,1
2736,4,50,10,184,1
3035,37,113,88,176,1
325,11,42,36,107,1
2597,36,194,9,145,1
2814,36,126,84,47,1
386,15,97,15,50,1
2023,37,78,37,173,1
3029,3,188,31,27,0
4626,48,136,3,177,1
4018,30,82,0,20,1
960,23,137,51,31,1
2046,33,121,50,191,1
3179,1,185,73,96,1
4254,1,27,71,66,1
3807,3,102,31,48,1
377,9,168,54,196,1
1849,32,156,51,187,1
364,13,153,66,130,1
3595,45,126,47,170,1
1184,31,138,52,36,1
2796,21,159,30,28,1
4926,23,111,86,102,1
1570,13,133,36,119,1
205,26,78,71,162,1
1774,25,79,45,23,1
3393,8,156,41,99,1
936,40,73,63,108,1
3123,30,72,92,45,1
2855,5,108,59,22,1
771,24,141,47,122,1
962,10,71,32,68,1
3407,19,196,88,104,0
920,35,149,47,83,1
4158,22,145,1,186,1
547,39,53,4,188,1
1806,38,2,13,27,1
1167,7,161,34,166,1
3459,39,162,13,173,1
2878,20,136,18,20,1
1697,40,50,79,131,1
3033,32,129,81,195,1
192,2,117,1,153,1
2811,15,94,66,154,1
3485,10,45,70,45,1
4710,21,32,11,139,1
2481,15,62,51,173,1
4562,34,95,79,149,1
1898,35,68,17,91,1
2746,5,164,34,22,0
1767,19,143,55,95,1
3122,7,120,31,154,1
1117,46,114,73,147,1
2836,44,78,32,189,1
3841,42,177,15,37,1
1338,42,18,86,92,1
3921,36,139,29,187,1
1856,18,80,45,152,1
1554,6,143,71,57,1
3358,4,139,64,46,1
3001,5,183,72,182,1
121,14,187,96,11,1
1740,41,68,79,56,1
1394,47,63,3,89,1
3353,33,124,6,93,1
3163,21,185,93,193,1
932,13,154,66,95,1
4284,2,143,53,85,1
2712,15,106,70,8,1
1554,47,77,89,84,1
2513,16,86,23,105,1
2603,35,112,79,165,1
782,45,104,33,67,1
1798,20,85,61,147,1
3974,1,139,71,154,1
473,46,186,56,177,1
3528,3,66,30,192,1
1641,17,125,84,152,1
4535,17,90,10,153,1
4487,41,169,29,99,1
4759,20,117,93,36,1
542,20,143,10,137,1
241,4,184,51,15,1
548,11,119,75,146,1
4967,15,51,89,197,1
1306,45,127,61,151,1
2018,27,178,27,34,1
4372,24,147,72,133,1
2236,20,172,73,104,1
866,44,75,14,7,1
3270,15,76,31,101,1
1523,6,87,75,103,1
1136,18,1,16,93,1
4249,22,94,46,30,1
1924,49,39,72,175,1
920,21,151,81,122,1
4813,24,112,57,59,1
2092,17,44,92,32,1
322,11,21,70,83,1
1079,18,156,24,156,1
3268,35,139,12,165,1
4119,31,152,11,153,1
1101,28,140,44,117,1
4083,24,188,34,78,1
1623,36,67,85,23,1
3240,45,161,78,171,1
4438,24,77,6,196,1
3847,33,194,69,71,1
3339,30,42,44,153,1
3797,37,44,61,127,1
2155,13,57,48,184,1
357,16,144,69,68,1
3409,48,84,82,60,1
3226,43,190,96,118,1
1301,9,138,4,119,1
2797,47,191,46,185,1
1567,13,23,96,21,1
1428,7,178,20,92,1
4941,35,72,78,135,1
2011,44,4,26,125,1
4355,26,72,93,74,1
2913,9,120,4,104,1
2706,35,151,22,29,1
2544,24,34,45,54,1
4617,33,54,40,119,1
4055,21,14,84,105,0
3613,22,4,64,115,1
972,39,82,72,38,1
4282,19,46,54,133,1
4512,44,37,97,45,1
3009,46,193,95,48,1
233,45,190,47,70,1
3408,32,67,69,121,1
1448,5,91,86,36,1
2846,12,59,38,140,1
586,40,80,79,153,1
1323,6,55,16,73,1
3017,18,164,13,91,1
3099,7,23,14,13,1
1146,19,32,41,24,1
1355,15,176,67,151,1
965,42,123,41,194,1
