loc,complexity,args,nesting_depth,returns,variables,methods_called,is_smelly
137,14,7,5,11,19,19,1
188,34,6,9,11,10,9,1
15,1,1,2,1,1,0,0
9,1,0,1,0,3,1,0
9,15,5,2,14,27,24,1
14,2,0,0,0,3,3,0
116,39,9,5,12,26,23,1
126,4,11,1,1,11,6,1
202,33,9,7,13,26,15,1
16,4,3,2,1,4,3,0
171,30,8,7,13,19,16,1
5,2,1,1,2,2,3,0
104,14,6,7,13,17,15,1
17,1,0,2,2,4,1,0
26,4,0,1,1,3,0,0
5,4,1,2,2,1,0,0
17,4,3,1,0,3,0,0
250,13,9,7,8,18,23,1
110,36,8,8,10,25,9,1
107,13,11,7,12,19,11,1
16,1,2,1,2,1,3,0
10,2,3,0,2,3,1,0
21,3,3,2,1,1,2,0
187,30,9,8,9,24,11,1
231,21,9,5,7,12,17,1
16,4,0,0,1,1,3,0
148,25,5,6,11,10,13,1
106,23,6,1,3,23,2,1
21,3,2,1,2,1,2,0
9,1,0,0,0,2,1,0
14,3,3,2,2,1,0,0
182,17,10,4,14,29,11,1
75,29,11,6,5,10,14,1
6,1,1,1,0,2,3,0
16,3,3,2,1,2,0,0
28,2,3,2,2,3,1,0
20,4,0,0,2,2,3,0
178,19,5,5,13,29,17,1
21,2,2,0,2,2,2,0
27,2,2,0,2,2,0,0
75,27,8,6,5,25,11,1
8,3,3,1,2,3,2,0
24,3,1,2,0,2,1,0
24,2,0,2,0,1,1,0
24,4,2,2,2,4,2,0
28,4,2,1,1,1,2,0
21,3,1,0,1,4,2,0
62,39,11,5,6,14,24,1
7,3,0,1,1,2,2,0
25,2,3,2,2,3,1,0
139,28,8,8,11,28,23,1
21,1,2,1,1,3,1,0
16,1,1,0,2,2,2,0
274,33,11,7,10,23,9,1
19,1,3,2,2,1,0,0
21,1,3,1,0,2,1,0
213,33,10,4,14,20,22,1
6,1,2,2,1,1,3,0
15,3,0,0,1,1,2,0
190,11,6,4,8,15,9,1
292,36,10,9,5,27,23,1
291,36,10,4,7,17,15,1
11,1,2,2,2,1,2,0
117,34,9,7,4,22,21,1
89,32,8,7,13,15,18,1
239,33,5,9,8,3,13,1
5,1,0,2,0,2,1,0
263,22,8,7,14,14,10,1
22,1,3,2,1,2,3,0
130,11,8,6,14,27,17,1
264,20,5,6,14,18,24,1
27,4,2,1,1,4,2,0
12,1,1,0,0,3,3,0
135,13,6,4,12,22,11,1
69,36,11,5,13,29,21,1
16,1,2,0,0,4,1,0
87,12,6,6,9,22,16,1
12,4,0,2,2,3,3,0
23,3,2,2,1,2,3,0
235,30,7,9,1,28,2,1
15,2,1,1,1,1,3,0
207,13,11,8,14,25,23,1
25,2,1,1,2,3,1,0
282,26,3,9,11,12,4,1
130,21,7,6,12,17,23,1
24,4,3,0,0,1,2,0
130,36,8,7,4,11,14,1
285,13,11,7,14,13,23,1
21,1,1,2,1,3,2,0
23,4,2,0,2,3,2,0
220,11,8,9,10,24,14,1
96,10,11,5,10,22,22,1
24,1,1,2,2,3,1,0
25,3,2,0,0,3,2,0
254,31,5,7,5,19,10,1
290,35,9,5,10,21,11,1
14,25,7,1,4,15,14,1
234,39,10,9,12,25,24,1
13,4,3,2,0,3,0,0
161,13,8,8,4,10,8,1
293,35,6,4,5,22,15,1
229,25,6,6,7,22,10,1
21,3,3,0,2,3,3,0
109,38,11,7,12,20,8,1
275,11,6,0,0,21,15,1
24,3,2,2,2,4,1,0
9,2,2,1,2,1,2,0
168,24,11,6,11,28,11,1
22,3,1,0,0,4,0,0
281,32,11,9,7,27,21,1
27,4,2,1,1,1,0,0
287,27,10,4,3,2,22,1
189,37,5,4,10,10,23,1
12,3,2,1,2,1,3,0
277,19,9,8,6,11,23,1
187,12,9,4,8,26,13,1
9,1,3,1,2,2,1,0
214,20,10,8,5,14,23,1
10,4,3,0,0,1,2,0
152,17,10,4,11,15,19,1
266,31,10,6,9,13,10,1
181,26,2,4,4,12,23,1
18,2,0,2,2,3,1,0
17,3,3,2,1,2,1,0
13,4,2,2,1,4,0,0
240,36,11,5,4,18,17,1
18,1,2,2,0,3,3,0
160,36,9,5,9,26,15,1
46,10,10,9,14,10,12,1
136,29,0,5,9,20,22,1
222,28,7,9,7,11,23,1
6,1,0,1,2,1,3,0
161,28,2,0,13,23,1,1
27,2,1,1,2,1,2,0
13,4,0,1,0,4,1,0
46,7,8,0,5,9,21,1
67,31,10,9,12,29,10,1
15,4,1,2,1,4,3,0
25,4,0,2,0,2,3,0
182,5,1,1,4,6,0,1
90,24,10,7,14,11,24,1
5,3,1,1,1,2,0,0
103,25,9,5,11,11,16,1
231,32,9,8,14,18,21,1
208,30,9,5,14,18,16,1
16,4,2,1,1,4,2,0
27,2,2,2,1,4,2,0
20,4,0,2,0,3,0,0
68,34,11,8,1,20,6,1
122,17,9,7,12,19,21,1
278,27,11,7,9,19,11,1
40,7,6,1,9,22,9,1
5,4,0,1,1,2,1,0
166,27,10,9,7,16,15,1
15,4,2,0,1,3,3,0
120,33,9,3,3,14,2,1
10,4,1,0,0,3,1,0
94,28,10,4,13,11,23,1
22,1,0,2,2,2,3,0
151,34,11,7,4,11,19,1
285,6,10,4,4,2,2,1
17,4,2,1,0,1,1,0
29,2,3,0,0,3,3,0
95,16,11,9,10,17,23,1
23,3,3,1,2,1,3,0
282,18,6,1,1,22,7,1
86,20,6,8,2,0,7,1
9,11,1,7,5,22,16,1
10,3,0,1,2,2,2,0
201,15,11,7,14,25,15,1
10,4,0,1,0,1,3,0
163,33,6,4,8,15,8,1
74,15,7,8,13,20,8,1
191,33,11,8,10,22,8,1
18,4,0,2,1,1,3,0
88,26,9,7,4,17,16,1
23,3,2,0,1,1,0,0
268,26,8,9,7,22,14,1
24,4,2,1,0,4,3,0
10,1,2,2,1,2,0,0
7,2,1,2,1,1,2,0
116,16,6,4,6,11,9,1
6,2,2,2,2,1,2,0
8,3,2,1,1,4,3,0
133,35,10,5,9,12,17,1
7,4,1,1,1,3,0,0
29,3,3,1,1,1,2,0
21,1,1,2,0,1,3,0
20,2,1,2,0,4,0,0
272,16,10,9,13,28,18,1
21,1,0,1,1,1,0,0
14,4,0,2,2,4,2,0
237,39,5,7,12,23,18,1
114,14,7,6,8,16,23,1
11,4,2,2,1,4,3,0
247,20,11,7,12,11,17,1
12,2,3,2,1,1,2,0
24,3,0,1,0,4,3,0
245,34,5,9,6,14,12,1
27,2,0,1,2,4,3,0
29,4,3,1,2,4,2,0
170,37,7,7,12,25,9,1
7,4,3,1,0,2,3,0
155,12,10,5,4,22,24,1
229,39,9,1,3,4,16,1
67,36,6,9,4,24,20,1
52,10,3,9,10,29,7,1
176,30,9,4,4,29,12,1
18,3,2,0,0,1,2,0
160,20,7,2,10,6,1,1
278,35,6,7,9,14,21,1
195,30,5,8,9,21,2,1
15,3,0,1,2,4,2,0
10,1,1,2,2,1,0,0
187,36,8,5,11,15,13,1
16,2,3,0,2,4,0,0
199,25,0,3,1,21,7,1
165,12,6,9,4,18,19,1
18,2,1,2,2,2,0,0
28,3,0,1,1,3,2,0
22,1,0,2,2,3,3,0
26,2,2,2,2,3,0,0
22,3,2,1,0,1,2,0
24,2,0,2,0,2,1,0
251,29,9,7,12,22,14,1
17,3,2,2,2,4,2,0
6,1,2,2,1,3,1,0
24,3,2,0,1,4,0,0
67,39,11,8,8,18,16,1
277,31,8,8,14,15,21,1
6,2,1,0,1,1,0,0
292,33,5,6,5,15,15,1
238,12,6,4,9,16,21,1
158,31,7,6,4,16,22,1
228,34,5,9,7,8,8,1
204,17,6,6,4,25,23,1
20,1,0,1,1,1,2,0
44,19,9,2,12,22,8,1
23,1,0,0,0,4,3,0
17,4,3,0,1,2,2,0
131,22,11,6,14,14,9,1
287,38,5,5,14,19,11,1
109,10,10,8,8,28,23,1
47,24,6,6,14,17,22,1
12,2,0,0,1,1,1,0
182,31,10,4,11,23,14,1
170,23,6,8,10,11,14,1
77,22,10,6,13,16,20,1
203,14,11,5,13,27,22,1
68,27,8,5,6,23,4,1
63,22,8,7,12,22,9,1
123,35,7,9,8,18,15,1
189,24,7,6,13,27,15,1
16,1,3,0,2,1,1,0
17,4,1,2,1,1,1,0
27,4,1,1,1,3,2,0
12,1,0,0,1,2,0,0
27,2,3,1,0,2,1,0
246,17,6,9,14,14,11,1
125,18,9,9,5,21,24,1
14,2,2,2,0,2,3,0
22,1,0,0,0,2,2,0
296,27,11,7,12,24,14,1
28,3,0,2,0,1,3,0
7,2,0,2,2,3,1,0
29,3,2,2,1,4,2,0
7,1,1,2,2,2,3,0
141,13,7,6,14,13,9,1
26,4,3,0,2,1,1,0
9,3,1,1,1,2,3,0
88,14,5,9,8,29,17,1
125,19,6,4,8,25,16,1
29,1,0,1,0,2,1,0
11,3,1,2,2,1,2,0
6,3,1,0,1,2,2,0
124,39,7,7,14,22,19,1
18,1,3,2,0,3,1,0
21,1,2,0,1,4,0,0
59,3,5,4,2,12,23,0
281,24,11,6,6,11,18,1
13,1,2,0,2,3,1,0
12,1,0,2,2,3,1,0
153,15,6,9,7,16,23,1
18,3,2,1,1,2,0,0
9,2,0,2,1,1,2,0
154,32,5,7,11,26,23,1
11,4,2,1,2,1,1,0
28,3,2,0,0,4,0,0
74,22,6,9,2,18,13,1
261,29,1,8,8,14,17,1
10,1,1,2,1,3,2,0
196,14,5,7,10,16,15,1
91,37,11,5,5,21,22,1
19,3,1,0,0,1,1,0
88,28,6,8,8,29,17,1
245,7,5,7,9,14,18,1
181,31,11,4,7,23,18,1
10,4,2,2,1,1,3,0
134,22,7,7,5,21,0,1
25,1,3,0,2,3,2,0
15,3,0,0,2,2,2,0
22,3,0,1,0,1,2,0
92,22,11,4,11,15,18,1
267,11,7,8,6,12,17,1
26,3,2,0,0,2,0,0
161,31,11,8,13,28,9,1
118,19,6,8,7,14,16,1
16,3,3,0,0,1,2,0
6,4,0,1,0,2,0,0
113,22,8,8,13,28,23,1
5,3,1,0,2,3,1,0
64,29,11,6,13,21,9,1
18,2,0,0,2,1,2,0
5,4,0,1,0,3,3,0
98,19,8,4,9,14,19,1
21,4,0,1,2,3,0,0
113,6,2,0,8,14,18,1
228,10,9,9,11,29,12,1
17,3,2,2,1,1,2,0
158,4,10,0,13,26,9,1
13,4,1,2,0,2,1,0
25,1,3,1,0,4,0,0
114,28,6,8,5,16,20,1
20,3,3,2,1,3,3,0
221,29,9,4,14,20,16,1
210,22,7,6,8,10,10,1
287,28,10,9,8,26,9,1
17,1,0,1,1,1,1,0
294,15,9,6,4,15,15,1
131,38,8,4,10,14,20,1
162,36,9,5,14,24,23,1
18,1,0,0,0,4,1,0
170,29,8,5,10,14,13,1
13,2,3,1,0,1,2,0
14,3,2,1,2,2,2,0
13,3,1,2,1,4,1,0
9,1,0,0,1,3,2,0
124,10,10,5,11,23,23,1
292,21,5,7,10,18,12,1
198,13,9,6,4,14,19,1
15,3,0,0,1,1,2,0
9,1,1,1,0,4,1,0
76,11,8,9,13,21,13,1
75,38,7,4,6,15,11,1
10,3,1,1,2,1,1,0
146,37,11,9,8,25,13,1
231,21,5,6,13,12,15,1
27,1,2,1,2,4,1,0
236,31,9,9,11,29,12,1
248,25,6,5,7,13,14,1
144,36,8,6,13,17,12,1
11,2,3,0,2,2,2,0
233,16,5,9,14,28,14,1
13,1,0,0,1,4,2,0
15,4,0,1,2,4,2,0
9,3,3,2,0,3,2,0
155,16,6,7,6,13,19,1
6,4,0,0,0,2,0,0
234,20,5,5,11,28,13,1
190,13,8,7,12,29,17,1
20,3,2,1,2,3,3,0
205,38,7,4,7,11,19,1
10,12,8,3,13,6,10,1
116,18,5,8,4,14,18,1
163,16,11,9,6,21,10,1
26,4,2,0,0,4,0,0
24,2,1,2,0,3,0,0
110,18,9,4,8,28,18,1
22,4,2,1,0,4,0,0
22,1,3,1,0,4,1,0
241,30,7,9,9,20,8,1
223,13,7,6,12,28,17,1
24,2,1,2,2,3,3,0
123,5,9,6,0,3,24,1
12,1,1,1,0,4,3,0
170,11,9,7,5,16,14,1
221,21,8,9,4,24,12,1
275,12,8,9,5,26,19,1
288,28,5,7,5,16,8,1
11,2,7,8,14,11,12,1
73,11,8,8,6,27,13,1
28,4,3,0,0,2,3,0
264,4,6,5,3,28,15,1
6,4,2,1,0,1,1,0
7,4,1,0,1,3,1,0
258,22,10,5,9,13,14,1
120,22,7,7,12,19,18,1
140,36,8,4,5,23,12,1
27,2,0,0,2,1,3,0
26,4,2,1,2,1,1,0
28,4,3,2,2,1,0,0
127,27,8,9,5,14,18,1
117,29,7,9,10,19,20,1
27,2,2,1,0,4,1,0
26,4,2,2,1,3,3,0
276,38,5,0,7,25,17,1
197,17,8,5,12,25,13,1
10,2,3,0,0,4,1,0
5,2,1,0,0,3,3,0
17,2,2,2,0,4,2,0
6,3,3,1,1,2,1,0
232,26,7,4,9,12,9,1
176,21,5,8,10,16,15,1
291,26,8,9,8,10,18,1
136,21,5,9,12,19,23,1
61,36,10,6,11,27,14,1
193,17,11,3,9,9,21,1
6,2,1,0,1,2,0,0
104,10,8,4,10,17,17,1
165,36,10,5,4,10,9,1
20,3,1,1,2,1,2,0
217,25,7,7,10,10,8,1
14,2,3,2,1,4,3,0
14,1,3,2,1,3,2,0
199,35,9,6,9,12,18,1
199,34,9,1,11,15,4,1
172,20,8,4,7,22,10,1
92,13,5,4,7,24,13,1
96,15,1,1,11,5,12,1
174,28,8,7,11,13,23,1
25,4,2,0,1,3,2,0
5,2,2,2,0,2,1,0
20,2,3,0,1,1,2,0
218,24,10,7,10,28,18,1
239,15,11,5,11,20,21,1
16,3,0,2,0,4,2,0
20,3,2,2,1,1,0,0
299,38,9,1,5,19,1,1
21,2,0,2,2,2,2,0
182,23,10,6,14,13,23,1
68,25,7,7,11,14,12,1
286,28,9,5,5,10,15,1
17,1,0,1,2,3,2,0
6,2,0,0,0,1,3,0
91,34,6,6,7,22,16,1
81,36,7,6,8,10,22,1
19,3,2,1,0,2,2,0
293,38,10,9,5,23,20,1
12,1,1,2,0,3,3,0
91,37,9,8,6,20,15,1
15,4,3,1,2,2,0,0
28,4,2,2,0,4,1,0
188,31,7,7,13,29,16,1
236,39,7,9,9,29,23,1
285,19,10,7,11,24,19,1
15,3,2,0,2,1,3,0
149,28,7,4,13,24,14,1
26,1,0,1,2,1,0,0
63,14,6,7,14,12,20,1
189,17,6,0,9,2,7,1
24,33,1,0,8,8,16,1
100,35,11,6,5,13,19,1
132,36,11,6,5,21,8,1
7,1,2,2,1,1,0,0
10,4,3,1,0,4,2,0
6,2,2,2,1,3,3,0
101,10,6,9,5,29,14,1
23,3,1,0,2,4,0,0
19,3,1,1,1,4,0,0
176,24,9,1,2,21,4,1
53,20,0,3,0,12,2,1
8,4,3,2,0,2,1,0
8,2,3,0,0,4,0,0
238,25,6,7,6,14,19,1
164,38,7,4,8,20,21,1
29,2,0,1,1,4,2,0
99,10,9,9,4,20,1,1
171,35,7,8,6,26,8,1
6,1,0,1,2,1,0,0
10,1,2,1,1,4,2,0
12,1,3,0,0,2,1,0
24,2,1,1,0,3,0,0
13,2,2,0,0,4,0,0
7,1,1,0,0,1,3,0
110,27,8,7,6,28,9,1
7,1,3,0,1,1,2,0
26,2,3,2,1,2,0,0
5,4,3,1,2,2,1,0
5,3,1,2,1,3,2,0
14,1,0,1,0,2,3,0
16,3,3,2,0,3,3,0
241,15,8,7,12,16,21,1
97,38,10,8,8,18,10,1
98,19,9,4,12,22,11,1
11,3,0,1,2,2,0,0
16,3,0,0,1,2,1,0
238,31,11,4,14,28,23,1
5,1,3,1,2,2,0,0
26,3,1,0,2,3,2,0
26,3,0,2,2,1,0,0
98,13,10,5,8,28,20,1
17,4,2,2,1,2,2,0
127,26,11,5,9,15,19,1
25,3,3,1,1,4,0,0
284,14,5,6,9,13,17,1
171,35,9,4,3,6,17,1
78,34,10,9,12,19,14,1
263,6,5,1,11,15,2,1
16,4,1,2,2,4,2,0
130,36,11,6,5,29,11,1
9,2,2,0,2,2,0,0
118,10,8,7,6,15,12,1
14,1,3,1,1,4,1,0
167,30,6,4,7,14,13,1
82,36,9,5,8,15,21,1
27,2,2,0,0,3,1,0
232,28,5,9,5,15,11,1
13,2,1,2,0,1,0,0
21,4,1,2,2,3,3,0
26,3,2,2,2,4,1,0
271,14,1,5,9,20,18,1
24,4,3,0,0,4,0,0
112,20,8,9,7,25,23,1
22,3,2,1,2,1,2,0
86,11,10,9,12,13,11,1
283,30,6,8,9,21,11,1
155,24,5,4,13,12,15,1
21,3,3,2,2,1,3,0
97,16,5,6,14,29,13,1
286,16,8,9,5,23,15,1
5,2,1,1,2,1,1,0
6,1,0,1,2,1,1,0
125,32,7,8,13,28,21,1
217,21,5,6,7,24,10,1
228,35,9,9,7,24,20,1
82,12,9,4,10,19,23,1
29,3,0,0,0,1,1,0
193,20,6,9,6,13,9,1
256,28,7,7,8,22,14,1
21,1,3,1,1,1,3,0
216,12,7,8,12,19,19,1
178,18,5,5,7,13,12,1
16,3,1,2,0,3,1,0
294,19,8,0,11,21,7,1
21,3,0,1,2,1,3,0
98,21,8,9,9,13,21,1
158,24,8,9,11,10,19,1
60,30,8,8,4,19,10,1
277,23,9,8,8,22,15,1
12,3,3,1,2,2,0,0
224,30,10,6,13,15,24,1
113,39,8,6,12,1,6,1
24,4,2,1,0,1,0,0
29,3,0,1,0,1,2,0
240,34,7,7,4,12,18,1
34,28,10,7,1,6,0,1
9,2,0,1,1,1,3,0
189,39,9,9,8,12,11,1
242,33,11,8,12,24,13,1
130,36,8,4,9,12,8,1
99,27,11,5,9,16,17,1
13,2,0,2,2,4,0,0
232,35,7,5,9,15,15,1
18,2,1,1,0,4,0,0
237,10,7,5,9,25,7,1
165,28,10,4,12,19,23,1
239,30,1,8,13,22,6,1
119,24,9,5,10,13,17,1
29,3,2,0,0,4,1,0
185,36,3,7,9,3,24,1
17,2,3,0,2,3,1,0
28,4,2,0,1,3,0,0
9,3,1,2,0,2,0,0
103,27,9,8,10,23,17,1
203,37,11,4,14,26,23,1
22,1,3,2,2,4,2,0
151,21,8,6,10,17,11,1
80,37,6,9,7,22,9,1
25,3,0,0,1,1,1,0
26,4,1,0,2,4,2,0
21,3,3,0,0,4,2,0
116,17,5,7,4,13,11,1
11,3,3,2,2,3,1,0
175,26,8,6,12,19,17,1
26,4,1,0,0,1,3,0
86,36,5,6,12,19,16,1
263,24,6,6,7,26,13,1
150,36,11,6,7,26,24,1
137,25,10,4,6,29,20,1
214,26,6,5,14,16,17,1
13,1,1,0,0,4,2,0
127,13,3,4,14,4,19,1
29,1,0,2,0,1,0,0
290,15,3,0,7,1,13,1
145,20,9,7,11,11,10,1
161,18,6,9,8,18,13,1
235,21,6,5,9,15,8,1
60,31,9,5,5,28,19,1
17,3,2,0,1,4,3,0
12,1,3,2,0,1,3,0
8,1,2,0,1,3,3,0
10,1,0,1,0,1,1,0
75,17,10,5,6,15,21,1
186,22,5,4,13,26,21,1
145,34,7,3,14,17,20,1
70,23,6,7,7,16,8,1
16,3,1,0,2,2,1,0
20,2,2,0,0,3,2,0
145,22,8,4,11,23,17,1
27,4,0,1,0,1,1,0
26,3,1,1,0,1,2,0
10,4,3,2,2,3,1,0
8,1,0,0,2,3,3,0
190,32,11,9,8,11,20,1
162,37,10,6,10,14,12,1
20,4,1,0,0,3,2,0
13,3,3,0,2,1,3,0
118,39,6,5,7,17,10,1
61,22,8,5,11,19,19,1
16,1,3,1,0,3,3,0
16,3,1,2,1,4,3,0
222,24,11,9,10,25,14,1
254,37,8,8,7,10,12,1
9,33,10,0,8,14,22,1
27,3,3,2,0,4,2,0
107,36,7,0,8,29,6,1
12,2,3,0,2,4,1,0
20,3,0,1,0,2,0,0
120,39,1,9,10,12,22,1
23,1,0,0,1,4,2,0
7,1,2,0,2,4,0,0
60,10,10,0,12,23,21,1
11,4,2,0,2,2,3,0
104,11,8,8,7,20,14,1
19,2,3,1,2,1,3,0
22,4,2,0,1,2,2,0
205,39,10,6,11,15,9,1
71,18,6,9,4,18,18,1
152,12,9,0,3,16,19,1
189,38,6,7,13,17,10,1
11,3,0,0,2,1,2,0
256,10,11,5,9,19,8,1
134,29,10,7,9,20,8,1
88,34,6,9,5,15,15,1
113,16,8,7,5,28,10,1
275,7,0,5,9,1,5,1
289,10,8,9,6,27,13,1
7,3,0,0,0,1,2,0
132,31,9,8,5,27,17,1
263,20,10,5,11,23,8,1
239,34,7,4,14,13,15,1
122,20,10,7,9,10,16,1
250,14,10,9,12,10,16,1
244,25,9,7,9,4,19,1
208,11,1,5,11,12,4,1
27,3,2,2,2,2,0,0
28,4,1,0,1,2,2,0
92,21,8,4,7,11,8,1
27,1,2,2,1,4,1,0
182,35,7,9,4,15,24,1
5,1,3,2,2,3,1,0
74,35,5,4,13,22,17,1
63,21,9,4,8,26,24,1
70,33,10,7,9,24,10,1
103,29,9,9,4,11,13,1
174,30,5,6,4,11,19,1
166,21,10,8,10,28,12,1
196,31,11,5,13,13,19,1
247,12,5,5,14,29,24,1
13,4,0,2,1,2,3,0
27,3,3,0,2,1,2,0
8,3,2,0,0,4,0,0
7,2,0,2,2,2,3,0
6,4,1,0,0,3,2,0
67,32,11,5,11,18,17,1
11,3,1,0,1,2,0,0
141,22,10,5,6,22,10,1
14,1,0,2,2,4,1,0
138,32,10,5,11,26,13,1
13,4,2,0,0,1,1,0
281,20,8,1,13,8,24,1
23,2,1,1,1,3,3,0
25,1,0,1,1,4,1,0
23,4,2,1,2,4,3,0
29,1,3,1,1,2,2,0
212,23,8,4,10,23,23,1
21,3,2,1,2,4,0,0
21,4,0,0,1,4,3,0
296,22,11,7,14,27,10,1
10,1,1,1,2,4,1,0
6,3,1,0,1,2,2,0
112,38,1,9,0,9,2,1
123,5,1,0,1,5,8,1
5,3,0,1,0,2,1,0
138,16,6,5,11,24,23,1
6,3,3,2,1,4,0,0
128,36,10,6,14,10,11,1
26,3,1,2,2,3,0,0
5,1,2,0,0,2,0,0
187,20,7,8,5,25,19,1
19,1,2,2,0,2,3,0
12,3,1,0,0,3,2,0
28,3,3,1,2,3,3,0
83,20,7,4,8,10,19,1
121,12,10,8,7,19,10,1
25,4,0,1,1,3,2,0
28,3,2,0,2,2,0,0
137,26,6,7,6,19,23,1
177,31,8,8,4,19,11,1
216,25,8,5,7,21,12,1
12,1,1,2,0,4,0,0
21,1,3,0,1,4,1,0
126,24,9,6,14,28,19,1
252,17,9,5,14,24,14,1
23,1,2,0,2,4,0,0
63,33,8,8,12,25,18,1
19,2,1,0,2,1,0,0
93,11,8,7,14,10,17,1
9,1,1,0,0,2,1,0
210,27,9,4,12,10,9,1
286,17,10,8,14,15,21,1
131,14,11,9,9,10,11,1
16,3,2,2,1,1,3,0
204,32,0,5,9,1,18,1
135,15,11,7,7,15,20,1
6,1,0,1,0,2,3,0
299,19,10,7,12,18,24,1
8,2,0,1,1,1,0,0
26,3,2,0,2,3,1,0
215,14,6,7,10,22,15,1
268,34,7,6,5,20,21,1
84,15,11,9,9,28,9,1
239,32,9,5,14,29,15,1
23,3,3,0,2,3,0,0
25,3,2,2,2,1,1,0
154,30,11,1,13,20,3,1
188,10,9,6,13,13,11,1
27,3,3,1,2,3,2,0
135,10,5,5,7,26,13,1
21,4,1,2,2,1,2,0
212,21,9,7,5,17,12,1
144,11,3,1,5,6,3,1
117,27,5,4,6,13,17,1
232,30,8,6,8,16,22,1
248,21,7,7,5,26,24,1
139,21,11,7,8,22,20,1
5,4,0,0,2,1,3,0
62,19,5,1,7,10,16,1
8,4,2,2,2,2,0,0
139,35,6,7,9,26,12,1
226,38,11,7,6,29,12,1
29,2,1,1,0,4,0,0
10,21,7,2,7,1,24,1
27,1,3,1,1,3,2,0
126,26,5,5,5,20,9,1
17,2,1,2,2,2,1,0
25,2,1,1,1,2,0,0
26,4,3,0,0,1,2,0
118,18,6,9,9,12,14,1
286,12,7,4,10,23,20,1
22,3,2,0,0,4,1,0
196,6,7,4,6,7,16,1
156,13,9,9,12,23,23,1
95,32,1,3,6,9,16,1
23,4,2,0,1,4,3,0
20,1,2,1,0,3,1,0
243,29,11,4,12,14,19,1
20,2,3,0,0,4,0,0
153,22,5,4,4,29,15,1
251,22,10,4,14,13,18,1
9,3,3,0,0,2,0,0
184,34,9,9,13,29,15,1
22,4,0,2,1,2,0,0
17,2,1,0,0,2,1,0
11,1,0,2,1,3,2,0
116,4,11,5,10,4,24,1
298,5,4,3,7,18,22,1
189,39,10,0,10,3,9,1
194,14,9,5,6,27,13,1
142,21,10,7,7,11,8,1
24,4,0,0,0,4,1,0
243,36,6,9,5,23,9,1
102,19,0,5,5,27,15,1
71,34,5,6,4,17,21,1
134,22,10,5,12,23,22,1
146,3,6,9,8,26,24,1
67,19,8,7,12,12,20,1
295,36,8,6,9,14,24,1
158,17,10,7,4,27,11,1
26,4,0,2,2,4,2,0
18,2,0,1,2,4,3,0
166,25,11,0,5,14,7,1
124,22,5,5,6,15,23,1
184,25,6,8,5,18,11,1
60,37,9,4,5,11,8,1
229,38,6,8,2,16,4,1
75,36,7,8,4,15,10,1
23,4,3,2,1,4,0,0
129,27,11,5,13,15,14,1
11,1,0,0,2,1,0,0
252,24,9,5,13,24,20,1
143,37,10,7,11,21,11,1
22,3,3,1,0,3,3,0
233,34,10,6,11,25,23,1
10,4,3,0,0,2,1,0
28,1,2,1,0,3,0,0
107,25,9,5,4,11,19,1
117,11,9,4,8,17,15,1
281,20,6,6,4,18,10,1
10,4,1,1,0,2,3,0
56,30,1,8,11,29,18,1
14,3,1,2,1,1,0,0
14,2,2,0,0,3,0,0
60,16,10,8,14,25,10,1
49,15,7,9,2,10,14,1
104,36,11,9,10,27,16,1
28,2,0,0,2,2,2,0
114,37,9,5,11,25,22,1
258,26,9,3,10,2,23,1
18,3,0,2,0,3,1,0
219,10,8,6,10,17,12,1
206,17,8,9,5,11,12,1
251,39,10,5,11,23,17,1
253,17,11,6,12,28,21,1
190,17,10,5,10,12,15,1
157,37,9,4,13,15,21,1
180,38,2,7,5,28,9,1
214,39,9,6,5,26,11,1
14,3,0,2,0,2,2,0
28,2,2,1,1,3,1,0
141,19,5,8,8,24,24,1
18,4,3,1,2,2,3,0
6,1,2,0,1,4,1,0
11,4,0,2,2,2,3,0
262,16,11,6,6,14,11,1
136,10,8,6,12,14,9,1
22,1,0,0,2,3,0,0
116,34,9,9,9,16,16,1
253,31,9,9,9,22,14,1
16,4,1,2,2,1,0,0
157,20,7,7,14,29,14,1
276,15,11,9,9,16,16,1
8,4,3,2,0,3,3,0
11,4,3,2,0,1,1,0
24,1,0,2,2,4,3,0
27,4,2,2,0,2,3,0
21,1,1,0,0,1,0,0
24,2,1,1,2,4,0,0
28,1,0,2,2,3,3,0
6,4,1,2,1,1,1,0
137,33,8,7,11,16,16,1
11,3,3,2,0,4,0,0
177,17,6,6,8,18,15,1
125,31,10,9,9,27,13,1
254,33,2,2,9,5,13,1
213,36,10,9,9,15,19,1
16,1,2,0,1,1,2,0
26,3,0,2,1,1,3,0
71,39,11,5,10,20,22,1
178,38,6,7,13,18,15,1
147,19,0,2,0,23,20,1
98,13,9,9,5,25,16,1
246,34,6,4,13,12,10,1
228,30,8,9,12,21,18,1
247,21,10,7,11,20,11,1
11,3,2,0,1,3,1,0
90,39,10,8,6,17,24,1
84,18,11,8,9,16,10,1
270,13,8,6,7,23,21,1
14,25,0,5,11,25,13,1
12,2,3,2,2,3,3,0
134,28,7,7,11,23,14,1
157,24,8,4,11,28,21,1
283,35,7,5,3,17,14,1
9,2,2,1,1,2,0,0
209,5,11,7,4,14,20,1
6,4,0,1,2,2,0,0
250,14,11,6,6,29,24,1
20,3,6,0,5,8,9,0
19,4,3,0,2,1,0,0
229,11,2,7,10,20,6,1
283,17,6,9,10,19,9,1
